DEPTO_HECHO,MUNICIPIO_HECHO,MODALIDAD,CLASE_SITIO,ZONA,GENERO,PAIS_PERSONA,CARGO_PERSONA,Etapa,"FECHA_HECHO"
ANTIOQUIA,ENVIGADO,RINAS,AEROPUERTO,URBANA,FEMENINO,COLOMBIA,TURISTA_NACIONAL,Tercera_edad,"03/14/2020 12:00:00"
ANTIOQUIA,ENVIGADO,COSQUILLEO,VIAS_PUBLICAS,URBANA,FEMENINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Tercera_edad,"10/13/2020 12:00:00"
ANTIOQUIA,GIRARDOTA,SUPL.DIJIN-SIJIN,VIAS_PUBLICAS,URBANA,FEMENINO,PERU,TURISTA_EXTRANJERO,Tercera_edad,"1/07/2020 0:00"
ANTIOQUIA,MEDELLIN,FACTOR_DE_OPORTUNIDAD,PARQUES,URBANA,FEMENINO,PORTUGAL,TURISTA_EXTRANJERO,Tercera_edad,"1/07/2020 0:00"
ANTIOQUIA,MEDELLIN,COSQUILLEO,ESTACION_METRO,URBANA,MASCULINO,FRANCIA,TURISTA_EXTRANJERO,Tercera_edad,"3/01/2020 0:00"
ANTIOQUIA,MEDELLIN,FACTOR_DE_OPORTUNIDAD,HOTELES/RESIDENCIAS/SIMILARES,URBANA,FEMENINO,ECUADOR,TURISTA_EXTRANJERO,Tercera_edad,"02/23/2020 12:00:00"
ANTIOQUIA,MEDELLIN,COSQUILLEO,VIAS_PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Tercera_edad,"2/08/2020 0:00"
ANTIOQUIA,MEDELLIN,COSQUILLEO,VIAS_PUBLICAS,URBANA,FEMENINO,FRANCIA,TURISTA_EXTRANJERO,Tercera_edad,"09/25/2020 12:00:00"
ANTIOQUIA,MEDELLIN,ENGANO,HOTELES/RESIDENCIAS/SIMILARES,URBANA,MASCULINO,FRANCIA,TURISTA_EXTRANJERO,Tercera_edad,"02/15/2020 12:00:00"
ANTIOQUIA,MEDELLIN,RAPONAZO,VIAS_PUBLICAS,URBANA,FEMENINO,COLOMBIA,TURISTA_NACIONAL,Tercera_edad,"2/03/2020 0:00"
ANTIOQUIA,MEDELLIN,COSQUILLEO,VIAS_PUBLICAS,URBANA,FEMENINO,PERU,TURISTA_EXTRANJERO,Tercera_edad,"2/02/2020 0:00"
ANTIOQUIA,MEDELLIN,FACTOR_DE_OPORTUNIDAD,ESTABLECIMIENTO_PUBLICO,URBANA,FEMENINO,ARGENTINA,TURISTA_EXTRANJERO,Tercera_edad,"4/11/2020 0:00"
ANTIOQUIA,MEDELLIN,USO_SUSTANCIAS_TOXICAS/ESCOPOLAMINADO,VIAS_PUBLICAS,URBANA,MASCULINO,CANADA,TURISTA_EXTRANJERO,Tercera_edad,"02/22/2020 12:00:00"
ANTIOQUIA,MEDELLIN,FACTOR_DE_OPORTUNIDAD,HOTELES/RESIDENCIAS/SIMILARES,URBANA,MASCULINO,POLONIA,TURISTA_EXTRANJERO,Tercera_edad,"02/22/2020 12:00:00"
ANTIOQUIA,MEDELLIN,RAPONAZO,VEHICULO_TAXI,URBANA,FEMENINO,PAISES_BAJOS,TURISTA_EXTRANJERO,Tercera_edad,"1/02/2020 0:00"
ANTIOQUIA,MEDELLIN,COSQUILLEO,VIAS_PUBLICAS,URBANA,FEMENINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Tercera_edad,"1/02/2020 0:00"
ANTIOQUIA,MEDELLIN,ATRACO,VIAS_PUBLICAS,URBANA,FEMENINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Tercera_edad,"03/20/2020 12:00:00"
ANTIOQUIA,MEDELLIN,ATRACO,PARQUES,URBANA,MASCULINO,ITALIA,TURISTA_EXTRANJERO,Tercera_edad,"1/03/2020 0:00"
ANTIOQUIA,MEDELLIN,COSQUILLEO,ESTACION_METRO,URBANA,FEMENINO,FRANCIA,TURISTA_EXTRANJERO,Adultez,"02/19/2020 12:00:00"
ANTIOQUIA,MEDELLIN,ATRACO,APARTAMENTO,URBANA,MASCULINO,ISRAEL,TURISTA_EXTRANJERO,Adultez,"2/04/2020 0:00"
ANTIOQUIA,MEDELLIN,FACTOR_DE_OPORTUNIDAD,RESTAURANTES,URBANA,FEMENINO,ALEMANIA,TURISTA_EXTRANJERO,Adultez,"01/26/2020 12:00:00"
ANTIOQUIA,MEDELLIN,ENGANO,CAJERO_AUTOMATICO,URBANA,MASCULINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Adultez,"05/25/2020 12:00:00"
ANTIOQUIA,MEDELLIN,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"2/09/2020 0:00"
ANTIOQUIA,MEDELLIN,ATRACO,APARTAMENT/CONJUNTO_CERRADO,URBANA,MASCULINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Adultez,"7/08/2020 0:00"
ANTIOQUIA,MEDELLIN,COSQUILLEO,ESTACION_TRANSMILENIO,URBANA,MASCULINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Adultez,"02/14/2020 12:00:00"
ANTIOQUIA,MEDELLIN,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Adultez,"1/06/2020 0:00"
ANTIOQUIA,MEDELLIN,RINAS,CASAS_HABITACION,URBANA,FEMENINO,NORUEGA,TURISTA_EXTRANJERO,Adultez,"01/17/2020 12:00:00"
ANTIOQUIA,MEDELLIN,FACTOR_DE_OPORTUNIDAD,AUDITORIOS,URBANA,MASCULINO,MEXICO,TURISTA_EXTRANJERO,Adultez,"1/05/2020 0:00"
ANTIOQUIA,MEDELLIN,FACTOR_DE_OPORTUNIDAD,INTERIOR_VEHICULO_SERVICIO_PUBLICO,URBANA,MASCULINO,ALEMANIA,TURISTA_EXTRANJERO,Adultez,"2/06/2020 0:00"
ANTIOQUIA,MEDELLIN,FACTOR_DE_OPORTUNIDAD,HOTELES/RESIDENCIAS/SIMILARES,URBANA,MASCULINO,PORTUGAL,TURISTA_EXTRANJERO,Adultez,"2/06/2020 0:00"
ANTIOQUIA,MEDELLIN,FACTOR_DE_OPORTUNIDAD,PARQUE_NACIONAL_NATURAL_TAYRONA,RURAL,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"02/16/2020 12:00:00"
ANTIOQUIA,MEDELLIN,FACTOR_DE_OPORTUNIDAD,RESTAURANTES,URBANA,MASCULINO,ALEMANIA,TURISTA_EXTRANJERO,Adultez,"02/28/2020 12:00:00"
ANTIOQUIA,MEDELLIN,SUPL.DIJIN-SIJIN,VIAS_PUBLICAS,URBANA,MASCULINO,PERU,TURISTA_EXTRANJERO,Adultez,"03/17/2020 12:00:00"
ANTIOQUIA,MEDELLIN,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,COSTA_RICA,TURISTA_EXTRANJERO,Adultez,"3/09/2020 0:00"
ANTIOQUIA,MEDELLIN,COSQUILLEO,VIAS_PUBLICAS,URBANA,MASCULINO,PAISES_BAJOS,TURISTA_EXTRANJERO,Adultez,"02/29/2020 12:00:00"
ANTIOQUIA,MEDELLIN,FACTOR_DE_OPORTUNIDAD,HOTELES/RESIDENCIAS/SIMILARES,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"8/06/2020 0:00"
ANTIOQUIA,MEDELLIN,COSQUILLEO,VIAS_PUBLICAS,URBANA,FEMENINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"02/13/2020 12:00:00"
ANTIOQUIA,MEDELLIN,FACTOR_DE_OPORTUNIDAD,TEATROS,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"3/12/2020 0:00"
ANTIOQUIA,MEDELLIN,ATRACO,HOTELES/RESIDENCIAS/SIMILARES,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"3/12/2020 0:00"
ANTIOQUIA,MEDELLIN,FACTOR_DE_OPORTUNIDAD,HOTELES/RESIDENCIAS/SIMILARES,URBANA,MASCULINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"3/03/2020 0:00"
ANTIOQUIA,MEDELLIN,FACTOR_DE_OPORTUNIDAD,HOTELES/RESIDENCIAS/SIMILARES,URBANA,MASCULINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Adultez,"10/25/2020 12:00:00"
ANTIOQUIA,MEDELLIN,ATRACO,VIAS_PUBLICAS,URBANA,FEMENINO,ITALIA,TURISTA_EXTRANJERO,Adultez,"10/25/2020 12:00:00"
ANTIOQUIA,MEDELLIN,COSQUILLEO,MAR,RURAL,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"05/26/2020 12:00:00"
ATLANTICO,BARRANQUILLA,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,JAPON,TURISTA_EXTRANJERO,Adultez,"02/22/2020 12:00:00"
ATLANTICO,BARRANQUILLA,RAPONAZO,VIAS_PUBLICAS,URBANA,FEMENINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"02/22/2020 12:00:00"
ATLANTICO,BARRANQUILLA,RAPONAZO,CARRETERA,RURAL,FEMENINO,POLONIA,TURISTA_EXTRANJERO,Adultez,"02/22/2020 12:00:00"
ATLANTICO,BARRANQUILLA,ENGANO,DENTRO_DE_VIVIENDA,RURAL,FEMENINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"02/22/2020 12:00:00"
ATLANTICO,JUAN_DE_ACOSTA,ATRACO,CASAS_HABITACION,URBANA,FEMENINO,ESPANA,TURISTA_EXTRANJERO,Adultez,"05/15/2020 12:00:00"
ATLANTICO,SOLEDAD,FACTOR_DE_OPORTUNIDAD,RESTAURANTES,URBANA,MASCULINO,BRASIL,TURISTA_EXTRANJERO,Adultez,"01/31/2020 12:00:00"
BOLIVAR,CARTAGENA,FACTOR_DE_OPORTUNIDAD,VIAS_PUBLICAS,URBANA,FEMENINO,HOLANDA,TURISTA_EXTRANJERO,Adultez,"02/27/2020 12:00:00"
BOLIVAR,CARTAGENA,COSQUILLEO,VIAS_PUBLICAS,URBANA,FEMENINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"02/27/2020 12:00:00"
BOLIVAR,CARTAGENA,FACTOR_DE_OPORTUNIDAD,HOTELES/RESIDENCIAS/SIMILARES,URBANA,MASCULINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"02/19/2020 12:00:00"
BOLIVAR,CARTAGENA,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,CANADA,TURISTA_EXTRANJERO,Adultez,"02/29/2020 12:00:00"
BOLIVAR,CARTAGENA,USO_SUSTANCIAS_TOXICAS/ESCOPOLAMINADO,VIAS_PUBLICAS,URBANA,MASCULINO,ISRAEL,TURISTA_EXTRANJERO,Adultez,"03/15/2020 12:00:00"
BOLIVAR,CARTAGENA,FACTOR_DE_OPORTUNIDAD,HOTELES/RESIDENCIAS/SIMILARES,URBANA,FEMENINO,PAISES_BAJOS,TURISTA_EXTRANJERO,Adultez,"02/16/2020 12:00:00"
BOLIVAR,CARTAGENA,SUPL.DIJIN-SIJIN,VIAS_PUBLICAS,URBANA,FEMENINO,MEXICO,TURISTA_EXTRANJERO,Adultez,"01/21/2020 12:00:00"
BOLIVAR,CARTAGENA,FACTOR_DE_OPORTUNIDAD,HOTELES/RESIDENCIAS/SIMILARES,RURAL,MASCULINO,ALEMANIA,TURISTA_EXTRANJERO,Adultez,"01/19/2020 12:00:00"
BOLIVAR,CARTAGENA,ATRACO,PLAYA,URBANA,FEMENINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"1/04/2020 0:00"
BOLIVAR,CARTAGENA,FACTOR_DE_OPORTUNIDAD,VIA_PUBLICA,URBANA,MASCULINO,CANADA,TURISTA_EXTRANJERO,Adultez,"1/04/2020 0:00"
BOLIVAR,CARTAGENA,FACTOR_DE_OPORTUNIDAD,TERMINAL_TRANSPORTES,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"01/23/2020 12:00:00"
BOLIVAR,CARTAGENA,COSQUILLEO,VIAS_PUBLICAS,RURAL,MASCULINO,COLOMBIA,TURISTA_EXTRANJERO,Adultez,"2/04/2020 0:00"
BOLIVAR,CARTAGENA,COMPRA_DE_PRODUCTO_O_ELEMENTO,VIAS_PUBLICAS,URBANA,MASCULINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Adultez,"02/24/2020 12:00:00"
BOLIVAR,CARTAGENA,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,ARUBA,TURISTA_EXTRANJERO,Adultez,"1/10/2020 0:00"
BOLIVAR,CARTAGENA,FACTOR_DE_OPORTUNIDAD,HOTELES/RESIDENCIAS/SIMILARES,RURAL,FEMENINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"01/21/2020 12:00:00"
BOLIVAR,CARTAGENA,ATRACO,PARQUES,RURAL,FEMENINO,ITALIA,TURISTA_EXTRANJERO,Adultez,"1/08/2020 0:00"
BOLIVAR,CARTAGENA,ATRACO,VIAS_PUBLICAS,URBANA,FEMENINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"1/08/2020 0:00"
BOLIVAR,CARTAGENA,RINAS,HOTELES/RESIDENCIAS/SIMILARES,URBANA,MASCULINO,SUECIA,TURISTA_EXTRANJERO,Adultez,"01/23/2020 12:00:00"
BOLIVAR,CARTAGENA,FACTOR_DE_OPORTUNIDAD,HOTELES/RESIDENCIAS/SIMILARES,URBANA,MASCULINO,SUECIA,TURISTA_EXTRANJERO,Adultez,"01/26/2020 12:00:00"
BOLIVAR,CARTAGENA,FACTOR_DE_OPORTUNIDAD,AUDITORIOS,URBANA,MASCULINO,MEXICO,TURISTA_EXTRANJERO,Adultez,"01/26/2020 12:00:00"
BOLIVAR,CARTAGENA,FACTOR_DE_OPORTUNIDAD,INTERIOR_VEHICULO_SERVICIO_PUBLICO,URBANA,MASCULINO,ESPANA,TURISTA_EXTRANJERO,Adultez,"02/27/2020 12:00:00"
BOLIVAR,CARTAGENA,ROMPIMIENTO_DE_VIDRIO,VIAS_PUBLICAS,URBANA,FEMENINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"3/10/2020 0:00"
BOLIVAR,CARTAGENA,RINAS,PLAYA,URBANA,MASCULINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"01/23/2020 12:00:00"
BOLIVAR,CARTAGENA,FACTOR_DE_OPORTUNIDAD,PARQUEADERO,URBANA,FEMENINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"01/24/2020 12:00:00"
BOLIVAR,CARTAGENA,COLECTIVO,HOTELES/RESIDENCIAS/SIMILARES,URBANA,FEMENINO,BELGICA,TURISTA_EXTRANJERO,Adultez,"1/08/2020 0:00"
BOLIVAR,CARTAGENA,ATRACO,HOTELES/RESIDENCIAS/SIMILARES,URBANA,FEMENINO,BELGICA,TURISTA_EXTRANJERO,Adultez,"02/26/2020 12:00:00"
BOLIVAR,CARTAGENA,USO_SUSTANCIAS_TOXICAS/ESCOPOLAMINADO,APARTAMENTO,URBANA,MASCULINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Adultez,"01/25/2020 12:00:00"
BOLIVAR,CARTAGENA,RAPONAZO,VIAS_PUBLICAS,URBANA,FEMENINO,ESPANA,TURISTA_EXTRANJERO,Adultez,"2/12/2020 0:00"
BOLIVAR,CARTAGENA,ATRACO,PLAYA,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"1/03/2020 0:00"
BOLIVAR,CARTAGENA,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"01/20/2020 12:00:00"
BOLIVAR,CARTAGENA,FACTOR_DE_OPORTUNIDAD,PLAYA,URBANA,FEMENINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"02/29/2020 12:00:00"
BOLIVAR,CARTAGENA,VIOLACION_DE_CERRADURA,INTERIOR_VEHICULO_PARTICULAR,URBANA,MASCULINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"02/29/2020 12:00:00"
BOLIVAR,CARTAGENA,RAPONAZO,VIAS_PUBLICAS,URBANA,FEMENINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"2/09/2020 0:00"
BOLIVAR,CARTAGENA,ATRACO,PARQUES,URBANA,MASCULINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"02/27/2020 12:00:00"
BOLIVAR,CARTAGENA,COSQUILLEO,VIAS_PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"01/25/2020 12:00:00"
BOLIVAR,CARTAGENA,RAPONAZO,VIAS_PUBLICAS,URBANA,FEMENINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"1/07/2020 0:00"
BOLIVAR,CARTAGENA,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,RUSIA,TURISTA_EXTRANJERO,Adultez,"1/07/2020 0:00"
BOLIVAR,CARTAGENA,ATRACO,BUS_TRANSMILENIO,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"1/12/2020 0:00"
BOLIVAR,CARTAGENA,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"2/04/2020 0:00"
BOLIVAR,CARTAGENA,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,BRASIL,TURISTA_EXTRANJERO,Adultez,"3/07/2020 0:00"
BOLIVAR,CARTAGENA,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,DINAMARCA,TURISTA_EXTRANJERO,Adultez,"1/10/2020 0:00"
BOLIVAR,CARTAGENA,ATRACO,VIAS_PUBLICAS,RURAL,FEMENINO,ARGENTINA,TURISTA_EXTRANJERO,Adultez,"02/18/2020 12:00:00"
BOLIVAR,CARTAGENA,ATRACO,PARQUES,URBANA,MASCULINO,ITALIA,TURISTA_EXTRANJERO,Adultez,"1/12/2020 0:00"
BOLIVAR,CARTAGENA,COSQUILLEO,VIAS_PUBLICAS,URBANA,MASCULINO,AUSTRALIA,TURISTA_EXTRANJERO,Adultez,"1/12/2020 0:00"
BOLIVAR,CARTAGENA,ATRACO,VIAS_PUBLICAS,URBANA,FEMENINO,GUATEMALA,TURISTA_EXTRANJERO,Adultez,"03/13/2020 12:00:00"
BOLIVAR,CARTAGENA,FACTOR_DE_OPORTUNIDAD,VIAS_PUBLICAS,URBANA,MASCULINO,PAISES_BAJOS,TURISTA_EXTRANJERO,Adultez,"02/21/2020 12:00:00"
BOLIVAR,CARTAGENA,ATRACO,ESTABLECIMIENTO_PUBLICO,URBANA,MASCULINO,SUIZA,TURISTA_EXTRANJERO,Adultez,"02/29/2020 12:00:00"
BOLIVAR,CARTAGENA,COSQUILLEO,BARES/CANTINAS/SIMILARES,URBANA,MASCULINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Adultez,"2/06/2020 0:00"
CALDAS,MANIZALES,FACTOR_DE_OPORTUNIDAD,VIAS_PUBLICAS,URBANA,MASCULINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Adultez,"1/06/2020 0:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,COLOMBIA,TURISTA_EXTRANJERO,Adultez,"02/14/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,USO_SUSTANCIAS_TOXICAS/ESCOPOLAMINADO,BARES/CANTINAS/SIMILARES,URBANA,MASCULINO,COSTA_RICA,TURISTA_EXTRANJERO,Adultez,"2/07/2020 0:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,PARQUES,URBANA,MASCULINO,NUEVA_ZELANDA,TURISTA_EXTRANJERO,Adultez,"02/14/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,COSQUILLEO,VIAS_PUBLICAS,URBANA,FEMENINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Adultez,"02/25/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,COSQUILLEO,VIAS_PUBLICAS,URBANA,MASCULINO,ALEMANIA,TURISTA_EXTRANJERO,Adultez,"2/03/2020 0:00"
CUNDINAMARCA,BOGOTA_D.C.,USO_SUSTANCIAS_TOXICAS/ESCOPOLAMINADO,VIAS_PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"02/19/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,PLAYA,URBANA,MASCULINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"01/31/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"2/10/2020 0:00"
CUNDINAMARCA,BOGOTA_D.C.,FACTOR_DE_OPORTUNIDAD,HOTELES/RESIDENCIAS/SIMILARES,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"3/03/2020 0:00"
CUNDINAMARCA,BOGOTA_D.C.,COSQUILLEO,DISCOTECAS,URBANA,MASCULINO,PAISES_BAJOS,TURISTA_EXTRANJERO,Adultez,"01/28/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,COSQUILLEO,VIAS_PUBLICAS,URBANA,MASCULINO,PAISES_BAJOS,TURISTA_EXTRANJERO,Adultez,"01/28/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,SUPL.DIJIN-SIJIN,VIAS_PUBLICAS,URBANA,FEMENINO,BRASIL,TURISTA_EXTRANJERO,Adultez,"01/24/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,VIOLACION_DE_CERRADURA,DENTRO_DE_VIVIENDA,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"01/15/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,VIAS_PUBLICAS,URBANA,FEMENINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"01/30/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,TRANSACCIONES_ELECTRONICAS,INTERIOR_VEHICULO_PARTICULAR,RURAL,FEMENINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"01/30/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,VIAS_PUBLICAS,URBANA,FEMENINO,HOLANDA,TURISTA_EXTRANJERO,Adultez,"02/27/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,INTERIOR_VEHICULO_PARTICULAR,RURAL,MASCULINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Adultez,"02/28/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,VIAS_PUBLICAS,URBANA,FEMENINO,MEXICO,TURISTA_NACIONAL,Adultez,"01/23/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,COSQUILLEO,VIAS_PUBLICAS,URBANA,FEMENINO,HOLANDA,TURISTA_EXTRANJERO,Adultez,"1/10/2020 0:00"
CUNDINAMARCA,BOGOTA_D.C.,LLAVE_MAESTRA,APARTAMENTO,URBANA,MASCULINO,FRANCIA,TURISTA_EXTRANJERO,Adultez,"1/11/2020 0:00"
